# 生成工具 https://github.com/whitewatercn/rimetool
# 生成时间 2025-02-18_11-10-12
---
'yi'xing'hu'xi'shuai'jie Ⅰ型呼吸衰竭
'fei'ai'jie'ru'hua'liao 肺癌介入化疗
'fei'ai'jie'ru'zhi'liao 肺癌介入治疗
'fei'ban'hen'ai 肺瘢痕癌
'fei'bao'zi'jun'fei'yan 肺孢子菌肺炎
'fei'bing 肺病
'fei'bu'zhang 肺不张
'fei'bu'duo'zhong'nai'yao'jun'gan'ran 肺部多重耐药菌感染
'fei'bu'gan'ran 肺部感染
'fei'bu'gan'ran'ban'fei'bu'zhang 肺部感染伴肺不张
'fei'bu'gan'ran'ban'ka'xie 肺部感染伴咯血
'fei'bu'gan'ran'ban'xiong'qiang'ji'ye 肺部感染伴胸腔积液
'fei'bu'gan'ran'he'bing'hu'xi'shuai'jie 肺部感染合并呼吸衰竭
'fei'bu'jie'jie'bing 肺部结节病
'fei'bu'kong'dong 肺部空洞
'fei'bu'liu'gan'shi'xue'gan'jun'gan'ran 肺部流感嗜血杆菌感染
'fei'bu'rou'ya'zhong'xing'bing'bian 肺部肉芽肿性病变
'fei'bu'yan'xing'jia'liu 肺部炎性假瘤
'fei'bu'yin'ying 肺部阴影
'fei'bu'zhen'jun'bing 肺部真菌病
'fei'chen'ai'chen'zhuo'zheng 肺尘埃沉着症
'fei'chu'xue 肺出血
'fei'chu'xue'shen'yan'zong'he'zheng 肺出血肾炎综合征
'fei'chu'xue'xing'gou'duan'luo'xuan'ti'bing 肺出血型钩端螺旋体病
'fei'cuo'shang 肺挫伤
'fei'cuo'gou'liu 肺错构瘤
'xian'tian'xing'fei'cuo'gou'liu 先天性肺错构瘤
'fei'da'pao 肺大疱
'fei'da'pao'po'lie 肺大疱破裂
'fei'dian'fen'yang'bian 肺淀粉样变
'fei'dong'jing'mai'lou 肺动静脉瘘
'fei'dong'mai'bi'se 肺动脉闭塞
'fei'dong'mai'bu'fa'yu 肺动脉不发育
'fei'dong'mai'fa'yu'bu'quan 肺动脉发育不全
'fei'dong'mai'gao'ya 肺动脉高压
'fei'dong'mai'liu 肺动脉瘤
'fei'e'xing'zhong'liu 肺恶性肿瘤
'fei'fa'yu'bu'liang 肺发育不良
'fei'fa'yu'wei'cheng'shu 肺发育未成熟
'fei'fang'xian'jun'bing 肺放线菌病
'fei'fu'qiu'bao'zi'jun'bing 肺副球孢子菌病
'fei'ge'li'zheng 肺隔离症
'fei'geng'si 肺梗死
'fei'gong'xing'chong'bing 肺弓形虫病
'fei'gong'neng'bu'quan 肺功能不全
'fei'gou'chong'bing 肺钩虫病
'fei'gu'li'xing'xian'wei'liu 肺孤立性纤维瘤
'fei'guo'du'chong'qi 肺过度充气
'fei'han'tie'xue'huang'su'chen'zhuo'zheng 肺含铁血黄素沉着症
'fei'hou'bi'kong'dong 肺厚壁空洞
'fei'hua'xue'gan'shou'qi'liu 肺化学感受器瘤
'fei'huai'si 肺坏死
'fei'hua'mo'rou'liu 肺滑膜肉瘤
'fei'huan'qi'liang'jian'shao 肺换气量减少
'fei'hui'chong'bing 肺蛔虫病
'fei'huo'liang'jian'shao 肺活量减少
'fei'ji'qiu'you'bing 肺棘球蚴病
'fei'ji'fa'e'xing'zhong'liu 肺继发恶性肿瘤
'fei'ji'sheng'chong'bing 肺寄生虫病
'fei'jia'xing'lin'ba'liu 肺假性淋巴瘤
'fei'jian'zhi'xian'wei'hua'('yan'zheng'hou') 肺间质纤维化(炎症后)
'fei'jian'zhi'xian'wei'hua'bing'gan'ran 肺间质纤维化并感染
'fei'jian'fei'jian'zhi'ji'bing 肺间肺间质疾病
'fei'jian'zhi'xian'wei'hua'he'bing'fei'qi'zhong'zong'he'zheng 肺间质纤维化合并肺气肿综合征
'fei'jian'zhi'xian'wei'hua'he'bing'gan'ran 肺间质纤维化合并感染
'fei'jian'qie'ying'li'shang 肺剪切应力伤
'fei'jiao'jie'xing'zhong'liu 肺交界性肿瘤
'fei'jie'he 肺结核
'fei'jie'he'ban'xiong'qiang'ji'ye 肺结核伴胸腔积液
'fei'jie'he'bing'ka'xie 肺结核并咯血
'fei'jie'he'bing 肺结核病
'fei'І'he'chu'Н'tu'yang 肺І核初Н涂阳
'fei'jie'he'fu'ran 肺结核复燃
'fei'jie'he'huo'dong'qi 肺结核活动期
'fei'jie'he'qiu 肺结核球
'fei'jing'mai'bi'se 肺静脉闭塞
'fei'kuo'zhang'li'sun'shang 肺扩张力损伤
'fei'lang'ge'si'zu'zhi'xi'bao'zeng'sheng'zheng 肺朗格斯组织细胞增生症
'fei'lei'ai 肺类癌
'fei'liang'xing'zhong'liu 肺良性肿瘤
'fei'lie'shang 肺裂伤
'fei'lin'ba'guan'ping'hua'ji'liu'bing 肺淋巴管平滑肌瘤病
'fei'lin'ba'liu'yang'rou'ya'zhong'bing 肺淋巴瘤样肉芽肿病
'fei'mao'mei'jun'bing 肺毛霉菌病
'fei'mao'xi'xue'guan'liu 肺毛细血管瘤
'fei'mei'du 肺梅毒
'fei'men'e'xing'zhong'liu 肺门恶性肿瘤
'fei'men'lin'ba'jie'gai'hua 肺门淋巴结钙化
'fei'men'lin'ba'jie'ji'fa'e'xing'zhong'liu 肺门淋巴结继发恶性肿瘤
'fei'men'lin'ba'jie'jie'he 肺门淋巴结结核
'fei'men'lin'ba'jie'yan 肺门淋巴结炎
'fei'men'lin'ba'jie'zhong'da 肺门淋巴结肿大
'fei'men'zeng'da 肺门增大
'fei'mi'san'gong'neng'jiang'di 肺弥散功能降低
'fei'nang'chong'bing 肺囊虫病
'fei'nang'xing'bing'bian 肺囊性病变
'fei'nang'xing'ji'bing 肺囊性疾病
'fei'nang'xing'xian'wei'hua 肺囊性纤维化
'fei'nang'zhong 肺囊肿
'fei'nang'zhong'bing'gan'ran 肺囊肿并感染
'fei'nei'lin'ba'jie'zhuan'yi 肺内淋巴结转移
'fei'nei'mo'bo'li'jie'jie 肺内磨玻璃结节
'fei'nei'yi'wu 肺内异物
'fei'nian'mo'xiang'guan'lin'ba'zu'zhi'jie'wai'bian'yuan'qu'lin'ba'liu 肺黏膜相关淋巴组织结外边缘区淋巴瘤
'fei'nian'ye'liu 肺黏液瘤
'fei'nian'zhu'jun'bing 肺念珠菌病
'fei'nong'zhong 肺脓肿
'fei'nuo'ka'jun'bing 肺诺卡菌病
'fei'pao'chu'xue'zong'he'zheng 肺泡出血综合征
'fei'pao'wei'jie'shi'zheng 肺泡微结石症
'fei'pao'dan'bai'chen'ji'zheng 肺泡蛋白沉积症
'fei'pao'di'tong'qi'zong'he'zheng 肺泡低通气综合征
'fei'peng'chu 肺膨出
'fei'pi'chen'ji'zheng 肺铍沉积症
'fei'qi'ya'shang 肺气压伤
'fei'qi'zhong 肺气肿
'fei'qi'zhong'ban'fei'da'pao'xing'cheng 肺气肿伴肺大疱形成
'fei'qiu'xing'yin'ying 肺球形阴影
'fei'qu'mei'bing 肺曲霉病
'fei'qu'mei'qiu 肺曲霉球
'fei'que'ru 肺缺如
'fei'rong'ji'shang 肺容积伤
'fei'rou'liu 肺肉瘤
'fei'shang'gou'liu 肺上沟瘤
'fei'shang'pi'yang'xue'guan'nei'pi'liu 肺上皮样血管内皮瘤
'fei'shang'pi'yang'xue'guan'nei'pi'xi'bao'liu 肺上皮样血管内皮细胞瘤
'fei'sheng'wu'shang 肺生物伤
'fei'shi'bian 肺实变
'fei'shi'suan'xing'li'xi'bao'jin'run'zheng 肺嗜酸性粒细胞浸润症
'fei'shuai'jie 肺衰竭
'fei'shuan'se 肺栓塞
'fei'shui'zhong 肺水肿
'fei'shuan'se'rong'shuan'hou 肺栓塞溶栓后
'fei'tie'mo'chen'zhuo'bing 肺铁末沉着病
'fei'tong'qi'gong'neng'zhang'ai 肺通气功能障碍
'fei'tong'qi'gong'neng'zheng'chang 肺通气功能正常
'fei'ling'xian'shang 肺菱陷伤
'fei'xi'chong'bing 肺吸虫病
'fei'xia'ji'ye 肺下积液
'fei'xian'wei'liu 肺纤维瘤
'fei'xiao'xue'guan'yan 肺小血管炎
'fei'xing'bao'zi'si'jun'bing 肺型孢子丝菌病
'fei'xing'tu'la'jun'bing 肺型土拉菌病
'fei'xing'xue'xi'chong'bing 肺型血吸虫病
'fei'xing'nao'bing 肺性脑病
'fei'xue'guan'yan 肺血管炎
'fei'xue'shuan'shuan'se'zheng 肺血栓栓塞症
'fei'xue'zhong 肺血肿
'fei'ya'sheng'jun'bing 肺芽生菌病
'fei'yan 肺炎
'fei'yan'bing'gan'ran'xing'xiu'ke 肺炎并感染性休克
'fei'yan'ke'lei'bo'jun'fei'yan 肺炎克雷伯菌肺炎
'fei'yan'lian'qiu'jun'fei'yan 肺炎链球菌肺炎
'fei'yan'pang'xiong'qiang'ji'ye 肺炎旁胸腔积液
'fei'yan'xing'jia'liu 肺炎性假瘤
'fei'yan'yi'yuan'ti'fei'yan 肺炎衣原体肺炎
'fei'yan'zhi'yuan'ti'fei'yan 肺炎支原体肺炎
'fei'yi'zhi'pai'chi 肺移植排斥
'fei'yi'zhi'shi'bai 肺移植失败
'fei'yin'qiu'jun'bing 肺隐球菌病
'fei'ying'hua 肺硬化
'fei'yuan'fa'xing'jie'he'xing'zong'he'zheng 肺原发性结核性综合征
'fei'yuan'fa'xing'lin'ba'liu 肺原发性淋巴瘤
'fei'yuan'xing'xin'zang'bing 肺源性心脏病
'fei'yuan'xing'xin'zang'bing'shi'dai'chang'qi 肺源性心脏病失代偿期
'fei'zhen'jun'bing 肺真菌病
'fei'zhen'duan'xing'ying'xiang'yi'chang 肺诊断性影像异常
'fei'zhong'ye'zong'he'zheng 肺中叶综合征
'fei'zhuan'yi'xing'e'xing'hei'se'su'liu 肺转移性恶性黑色素瘤
'fei'zhuan'yi'xing'zhong'liu 肺转移性肿瘤
'fei'zu'zhi'bao'jiang'jun'bing 肺组织胞浆菌病
'fei'zu'zhi'huo'jian'shu 肺组织活检术
'feng'zhen'xing'fei'yan 风疹性肺炎
'fu'za'fei'yan'pang'xiong'qiang'ji'ye 复杂肺炎旁胸腔积液
'fu'zhang'xing'fei'shui'zhong 复张性肺水肿
'fu'fa'xing'duo'ruan'gu'yan 复发性多软骨炎
'fu'bai'ri'hai'gan'jun'bai'ri'hai 副百日咳杆菌百日咳
'fu'liu'gan'bing'du'xing'fei'yan 副流感病毒性肺炎
'fu'liu'gan'bing'du'xing'ji'xing'zhi'qi'guan'yan 副流感病毒性急性支气管炎
'fu'zhong'liu'zong'he'zheng 副肿瘤综合征
'gan'lao'xing'bi'yan 干酪性鼻炎
'gan'lao'yang'fei'yan 干酪样肺炎
'gan'zao'xing'bi'yan 干燥性鼻炎
'gan'zao'zong'he'zheng'xing'fei'bing'bian 干燥综合征性肺病变
'gan'dan'zhi'qi'guan'lou 肝胆支气管瘘
'gan'fei'zong'he'zheng 肝肺综合征
'gan'xiong'mo'lou 肝胸膜瘘
'gan'mao'hou'ke'sou 感冒后咳嗽
'gan'ran'hou'bi'se'xing'xi'zhi'qi'guan'yan 感染后闭塞性细支气管炎
'gan'ran'hou'ke'sou 感染后咳嗽
'gao'AG'xing'dai'xie'xing'suan'zhong'du 高AG型代谢性酸中毒
'gao'fei'rong'ji'hu'xi'shuai'jie 高肺容积呼吸衰竭
'gao'hai'ba'shi'ying 高海拔适应
'gao'jia'xing'suan'zhong'du 高钾性酸中毒
'gao'jia'xue'zheng 高钾血症
'gao'lin'xue'zheng 高磷血症
'gao'lv'xing'suan'zhong'du 高氯性酸中毒
'gao'lv'xue'zheng 高氯血症
'gao'mei'xue'zheng 高镁血症
'gao'pin'pi'lao 高频疲劳
'gao'rong'liang'xing'di'na'xue'zheng 高容量性低钠血症
'gao'rong'liang'xing'gao'na'xue'zheng 高容量性高钠血症
'gao'ru'suan'xue'zheng 高乳酸血症
'gao'shen'xing'hun'mi 高渗性昏迷
'gao'shen'xing'tuo'shui 高渗性脱水
'gao'tan'suan'xue'zheng 高碳酸血症
'gao'tan'suan'xue'zheng'hou'jian'zhong'du 高碳酸血症后碱中毒
'gao'tan'suan'xue'zheng'xing'hu'xi'shuai'jie 高碳酸血症型呼吸衰竭
'gao'tie'xue'hong'dan'bai'xue'zheng 高铁血红蛋白血症
'gao'tong'qi'zong'he'zheng 高通气综合征
'gao'ya'shen'jing'zong'he'zheng 高压神经综合征
'gao'yuan'fei'shui'zhong 高原肺水肿
'gao'yuan'xing'que'yang 高原性缺氧
'chang'ji'ma'bi 腸肌麻痹
'ge'ji'zhong'liu 膈肌肿瘤
'ge'ji'fa'e'xing'zhong'liu 膈继发恶性肿瘤
'ge'peng'sheng 膈膨升
'ge'que'ru 膈缺如
'ge'shan 膈疝
'ge'shang'lin'ba'jie'ji'fa'e'xing'zhong'liu 膈上淋巴结继发恶性肿瘤
'ge'xia'gan'ran 膈下感染
'ge'xia'zhong'wu 膈下肿物
'gong'neng'xing'fen'liu 功能性分流
'gu'li'xing'qi'guan'jie'he 孤立性气管结核
'gu'li'xing'qi'guan'zhi'qi'guan'jie'he 孤立性气管支气管结核
'gu'hua'xing'qi'guan'zhi'qi'guan'gu'bing 骨化性气管支气管骨病
'gu'ding'xing'da'qi'dao'xia'zhai 固定性大气道狭窄
'guang'fan'fei'jing'mai'huo'mao'xi'xue'guan'shou'lei'ji'bing'xiang'guan'xing'fei'dong'mai'gao'ya 广泛肺静脉或毛细血管受累疾病相关性肺动脉高压
'gui'chen'zhuo'bing 硅沉着病
'guo'min'xing'xiao'chuan 过敏性哮喘
'guo'min'xing'xiu'ke 过敏性休克
'ke'sou'bian'yi'xing'xiao'chuan 咳嗽变异型哮喘
'ke'sou'ji'fa'shi'yan 咳嗽激发试验
'ke'sou'yun'jue'zong'he'zheng 咳嗽-晕厥综合征
'hong'shan'ju'xie'bing 红杉锯屑病
'hou'he'qi'guan'ji'fei'shao'shang 喉和气管及肺烧伤
'hou'yan 喉炎
'hou'tian'xing'zhi'qi'guan'qi'shi 后天性支气管憩室
'hu'qi'qi'liu'shou'xian 呼气气流受限
'hu'qi'xiang'jian'xie'xing'fen'liu 呼气相间歇性分流
'hu'xi'dao'geng'zu 呼吸道梗阻
'hu'xi'dao'he'bao'bing'du'fei'yan 呼吸道合胞病毒肺炎
'hu'xi'dao'nei'yi'wu 呼吸道内异物
'hu'xi'dao'shao'shang 呼吸道烧伤
'hu'xi'ji'fu'zhu'tong'qi'zhi'liao 呼吸机辅助通气治疗
'hu'xi'ji'xiang'guan'xing'fei'yan 呼吸机相关性肺炎
'hu'xi'ji'yi'lai 呼吸机依赖
'hu'xi'ji'pi'lao 呼吸肌疲劳
'hu'xi'ji'ma'bi 呼吸肌麻痹
'hu'xi'ji'wu'li 呼吸肌无力
'hu'xi'shuai'jie 呼吸衰竭
'hu'xi'xi'tong'qu'ti'hua'de'zi'zhu'shen'jing'gong'neng'zhang'ai 呼吸系统躯体化的自主神经功能障碍
'hu'xi'xing'he'bing'dai'xie'xing'suan'jian'shi'heng 呼吸性合并代谢性酸碱失衡
'hu'xi'xing'jian'zhong'du 呼吸性碱中毒
'hu'xi'xing'jian'zhong'du'he'bing'dai'xie'xing'jian'zhong'du 呼吸性碱中毒合并代谢性碱中毒
'hu'xi'xing'jian'zhong'du'he'bing'dai'xie'xing'suan'zhong'du 呼吸性碱中毒合并代谢性酸中毒
'hu'xi'xing'que'yang 呼吸性缺氧
'hu'xi'xing'suan'zhong'du 呼吸性酸中毒
'hu'xi'xing'suan'zhong'du'he'bing'dai'xie'xing'jian'zhong'du 呼吸性酸中毒合并代谢性碱中毒
'hu'xi'xing'suan'zhong'du'he'bing'dai'xie'xing'suan'zhong'du 呼吸性酸中毒合并代谢性酸中毒
'hu'xi'xun'lian 呼吸训练
'hu'xi'zan'ting 呼吸暂停
'hu'xi'zhou'ting 呼吸骤停
'hu'li'yuan'huo'de'xing'fei'yan 护理院获得性肺炎
'hua'shi'fen'chen'fei 滑石粉尘肺
'hua'nong'xing'xiong'mo'yan 化脓性胸膜炎
'hua'xue'xing'fei'shui'zhong 化学性肺水肿
'hua'xue'xing'fei'yan 化学性肺炎
'hua'xue'xing'xiong'jiang'mo'yan 化学性胸浆膜炎
'huai'ju'xing'fei'yan 坏疽性肺炎
'huai'si'xing'jie'jie'bing'yang'rou'ya'zhong'bing 坏死性结节病样肉芽肿病
'huai'si'xing'rou'ya'zhong'xing'xue'guan'yan 坏死性肉芽肿性血管炎
'huan'qi'gong'neng'zhang'ai 换气功能障碍
'huan'qi'guo'du 换气过度
'hun'he'xing'shui'mian'hu'xi'zan'ting'di'tong'qi'zong'he'zheng 混合型睡眠呼吸暂停低通气综合征
'hun'he'xing'shui'mian'hu'xi'zan'ting 混合性睡眠呼吸暂停
'hun'he'xing'tong'qi'gong'neng'zhang'ai 混合性通气功能障碍
'huo'na'zong'he'zheng 霍纳综合征
'ji'hua'xing'fei'yan 机化性肺炎
'ji'xie'tong'qi'xiang'guan'xing'dian'jie'zhi'wen'luan 机械通气相关性电解质紊乱
'ji'xie'tong'qi'xiang'guan'xing'fei'shui'zhong 机械通气相关性肺水肿
'ji'xie'tong'qi'xiang'guan'xing'fei'sun'shang 机械通气相关性肺损伤
'ji'xie'tong'qi'xiang'guan'xing'ge'ji'gong'neng'zhang'ai 机械通气相关性膈肌功能障碍
'ji'xie'tong'qi'xiang'guan'xing'suan'jian'shi'heng 机械通气相关性酸碱失衡
'ji'ye 积液
'ji'xing'bi'dou'yan 急性鼻窦炎
'ji'xing'bi'yan'yan 急性鼻咽炎
'ji'xing'bian'tao'ti'yan 急性扁桃体炎
'ji'xing'ci'da'mian'ji'fei'shuan'se 急性次大面积肺栓塞
'ji'xing'da'mian'ji'fei'shuan'se 急性大面积肺栓塞
'ji'xing'di'feng'xian'xing'fei'shuan'se 急性低风险性肺栓塞
'ji'xing'di'rong'liang'xing'di'na'xue'zheng 急性低容量性低钠血症
'ji'xing'di'rong'liang'xing'gao'na'xue'zheng 急性低容量性高钠血症
'ji'xing'di'yang'tong'qi'fan'ying 急性低氧通气反应
'ji'xing'fei'ya'sheng'jun'bing 急性肺芽生菌病
'ji'xing'fei'yuan'xing'xin'zang'bing 急性肺源性心脏病
'ji'xing'fei'zu'zhi'bao'jiang'jun'bing 急性肺组织胞浆菌病
'ji'xing'gao'jia'xue'zheng 急性高钾血症
'ji'xing'gao'rong'liang'xing'di'na'xue'zheng 急性高容量性低钠血症
'ji'xing'gao'rong'liang'xing'gao'na'xue'zheng 急性高容量性高钠血症
'ji'xing'gao'yuan'bing 急性高原病
'ji'xing'gao'yuan'fan'ying 急性高原反应
