# 生成工具 https://github.com/whitewatercn/rimetool
# 生成时间 2025-02-18_10-27-47
---
'an'mian 安眠
'hai'quan 海泉
'hai'quan'xue 海泉穴
'han'yan 颔厌
'han'yan'xue 颔厌穴
'hang'jian 行间
'hang'jian'xue 行间穴
'he'ding 鹤顶
'he'ding'xue 鹤顶穴
'he'gu 合谷
'he'gu'xue 合谷穴
'he'qu 颌区
'he'xue 合穴
'he'xue 颌穴
'he'yang 合阳
'he'yang'xue 合阳穴
'heng'gu 横骨
'heng'gu'xue 横骨穴
'hou'ding 后顶
'hou'ding'xue 后顶穴
'hou'xi 后溪
'hou'xi'xue 后溪穴
'hou'ya 喉牙
'hua'gai 华盖
'hua'gai'xue 华盖穴
'hua'rou'men 滑肉门
'hua'rou'men'xue 滑肉门穴
'huai'xue 踝穴
'huan'tiao 环跳
'huan'tiao'xue 环跳穴
'huan'zhong 环中
'huan'zhong'xue 环中穴
'huang'men 肓门
'huang'men'xue 肓门穴
'huang'yu 肓俞
'huang'yu'xue 肓俞穴
'hui'yang 会阳
'hui'yang'xue 会阳穴
'hui'yin 会阴
'hui'yin'xue 会阴穴
'hui'zong 会宗
'hui'zong'xue 会宗穴
'hun'men 魂门
'hun'men'xue 魂门穴
'ji'dian 饥点
'ji'mai 急脉
'ji'mai'xue 急脉穴
'ji'men 箕门
'ji'men'xue 箕门穴
'ji'quan 极泉
'ji'quan'xue 极泉穴
'ji'zhong 脊中
'ji'zhong'xue 脊中穴
'jia'che 颊车
'jia'che'xue 颊车穴
'jia'cheng'jiang 夹承浆
'jia'cheng'jiang'xue 夹承浆穴
'jia'ji 夹脊
'jia'ji'xue 夹脊穴
'jian'bei 肩背
'jian'jing 肩井
'jian'jing'xue 肩井穴
'jian'li 建里
'jian'li'xue 建里穴
'jian'liao 肩髎
'jian'liao'xue 肩髎穴
'jian'qian 肩前
'jian'qian'xue 肩前穴
'jian'qu 肩区
'jian'shi 间使
'jian'shi'xue 间使穴
'jian'wai'yu 肩外俞
'jian'wai'yu'xue 肩外俞穴
'jian'xue 肩穴
'jian'yu 肩髃
'jian'yu'xue 肩髃穴
'jian'zhen 肩贞
'jian'zhen'xue 肩贞穴
'jian'zhong'yu 肩中俞
'jian'zhong'yu'xue 肩中俞穴
'jiao'gan 交感
'jiao'sun 角孙
'jiao'sun'xue 角孙穴
'jiao'wo'zhong 角窝中
'jiao'xin 交信
'jiao'xin'xue 交信穴
'jie'he'dian 结核点
'jie'jie 结节
'jie'xi 解溪
'jie'xi'xue 解溪穴
'jin'jin 金津
'jin'jin'xue 金津穴
'jin'men 金门
'jin'men'xue 金门穴
'jin'suo 筋缩
'jin'suo'xue 筋缩穴
'jing'bai'lao 颈百劳
'jing'bai'lao'xue 颈百劳穴
'jing'bi 颈臂
'jing'gu 京骨
'jing'gu'xue 京骨穴
'jing'men 京门
'jing'men'xue 京门穴
'jing'ming 睛明
'jing'ming'xue 睛明穴
'jing'qu 经渠
'jing'qu'xue 经渠穴
'jing'wai'qi 经外奇
'jing'wai'qi'xue 经外奇穴
'jing'xue 井穴
'jing'xue 经穴
'jing'xue 颈穴
'jing'zhui 颈椎
'jiu'nei'fan 纠内翻
'jiu'nei'fan'xue 纠内翻穴
'jiu'wai'fan 纠外翻
'jiu'wai'fan'xue 纠外翻穴
'jiu'wei 鸠尾
'jiu'wei'xue 鸠尾穴
'ju'gu 巨骨
'ju'gu'xue 巨骨穴
'ju'liao 居髎
'ju'liao 巨髎
'ju'liao'xue 居髎穴
'ju'liao'xue 巨髎穴
'ju'quan 聚泉
'ju'quan'xue 聚泉穴
'ju'que 巨阙
'ju'que'shu'xue 巨阙俞穴
'ju'que'xue 巨阙穴
'ju'que'yu 巨阙俞
'jue'gu'xue 绝骨穴
'jue'yin'yu 厥阴俞
'jue'yin'yu'xue 厥阴俞穴
'ke'dian 渴点
'kong'zui 孔最
'kong'zui'xue 孔最穴
'kou'he'liao 口禾髎
'kou'he'liao'xue 口禾髎穴
'kou'qu 口区
'kou'xue 口穴
'ku'fang 库房
'ku'fang'xue 库房穴
'kuan'gu 髋骨
'kuan'gu'xue 髋骨穴
'kuan'xue 髋穴
'kun'lun 昆仑
'kun'lun'xue 昆仑穴
'lan'wei 阑尾
'lan'wei'xue 阑尾穴
'lao'gong 劳宫
'lao'gong'xue 劳宫穴
'li'dui 厉兑
'li'dui'xue 历兑穴
'li'dui'xue 厉兑穴
'li'gou 蠡沟
'li'gou'xue 蠡沟穴
'li'nei'ting 里内庭
'li'nei'ting'xue 里内庭穴
'li'niao 利尿
'li'niao'xue 利尿穴
'lian'quan 廉泉
'lian'quan'xue 廉泉穴
'liang'men 梁门
'liang'men'xue 梁门穴
'liang'qiu 梁丘
'liang'qiu'xue 梁丘穴
'lie'que 列缺
'lie'que'xue 列缺穴
'ling'dao 灵道
'ling'dao'xue 灵道穴
'ling'dian 零点
'ling'tai 灵台
'ling'tai'xue 灵台穴
'ling'xu 灵墟
'ling'xu'xue 灵墟穴
'lou'gu 漏谷
'lou'gu'xue 漏谷穴
'lu'xi 颅息
'lu'xi'xue 颅息穴
'luan'chao 卵巢
'lun'er 轮二
'lun'liu 轮六
'lun'san 轮三
'lun'si 轮四
'lun'wu 轮五
'lun'yi 轮一
'luo'que 络却
'luo'que'xue 络却穴
'luo'xue 络穴
'lv'gu 率谷
'lv'gu'xue 率谷穴
'mei'chong 眉冲
'mei'chong'xue 眉冲穴
'mian'jia 面颊
'ming'men 命门
'ming'men'xue 命门穴
'mu'chuang 目窗
'mu'chuang'xue 目窗穴
'mu'er 目二
'mu'xue 募穴
'mu'yi 目一
'nao'hu 脑户
'nao'hu'xue 脑户穴
'nao'hui 臑会
'nao'hui'xue 臑会穴
'nao'kong 脑空
'nao'kong'xue 脑空穴
'nao'yu 臑俞
'nao'yu'xue 臑俞穴
'nei'bi 内鼻
'nei'er 内耳
'nei'fen'mi 内分泌
'nei'guan 内关
'nei'guan'xue 内关穴
'nei'huai'jian 内踝尖
'nei'huai'jian'xue 内踝尖穴
'nei'sheng'zhi'qi 内生殖器
'nei'ting 内庭
'nei'ting'xue 内庭穴
'nei'xi'yan 内膝眼
'nei'xi'yan'xue 内膝眼穴
'nei'ying'xiang 内迎香
'nei'ying'xiang'xue 内迎香穴
'niao'dao 尿道
'nie'qu 颞区
'nie'xue 颞穴
'nv'xi 女膝
'nv'xi'xue 女膝穴
'pang'guang 膀胱
'pang'guang'jing 膀胱经
'pang'guang'shu'xue 膀胱俞穴
'pang'guang'yu 膀胱俞
'pen'qiang 盆腔
'pi'gen 痞根
'pi'gen'xue 痞根穴
'pi'jing 脾经
'pi'qu 脾区
'pi'xue 脾穴
'pi'yu 脾俞
'pi'yu'xue 脾俞穴
'pi'zhi'xia 皮质下
'pian'li 偏历
'pian'li'xue 偏历穴
'ping'chuan 平喘
'ping'jian 屏尖
'ping'jian'qie'ji 屏间切迹
'po'hu 魄户
'po'hu'xue 魄户穴
'pu'can 仆参
'pu'can'xue 仆参穴
'qi'chong 气冲
'qi'chong'xue 气冲穴
'qi'dian 奇点
'qi'duan 气端
'qi'duan'xue 气端穴
'qi'guan 气管
'qi'hai 气海
'qi'hai'xue 气海穴
'qi'hai'yu 气海俞
'qi'hai'yu'xue 气海俞穴
'qi'hu 气户
'qi'hu'xue 气户穴
'qi'men 期门
'qi'men'xue 期门穴
'qi'she 气舍
'qi'she'xue 气舍穴
'qi'xue 气穴
'qi'xue'xue 气穴穴
'qi'zhou 脐周
'qian'ding 前顶
'qian'ding'xue 前顶穴
'qian'gu 前谷
'qian'gu'xue 前谷穴
'qian'zheng 牵正
'qian'zheng'xue 牵正穴
'qiang'jian 强间
'qiang'jian'xue 强间穴
'qing'leng'yuan 清冷渊
'qing'leng'yuan'xue 清冷渊穴
'qing'ling 青灵
'qing'ling'xue 青灵穴
'qing'ming 晴明
'qiu'hou 球后
'qiu'hou'xue 球后穴
'qiu'nao 丘脑
'qiu'xu 丘墟
'qiu'xu'xue 丘墟穴
'qu'bin 曲鬓
'qu'bin'xue 曲鬓穴
'qu'cha 曲差
'qu'cha'xue 曲差穴
'qu'chi 曲池
'qu'chi'xue 曲池穴
'qu'gu 曲骨
'qu'gu'xue 曲骨穴
'qu'quan 曲泉
'qu'quan'xue 曲泉穴
'qu'yuan 曲垣
'qu'yuan'xue 曲垣穴
'qu'ze 曲泽
'qu'ze'xue 曲泽穴
'quan'liao 颧髎
'quan'liao'xue 颧髎穴
'que'pen 缺盆
'que'pen'xue 缺盆穴
'ran'gu 然谷
'ran'gu'xue 然谷穴
're'xue 热穴
'ren'mai 任脉
'ren'ying 人迎
'ren'ying'xue 人迎穴
'ren'zhong 人中
'ri'yue 日月
'ri'yue'xue 日月穴
'ru'gen 乳根
'ru'gen'xue 乳根穴
'ru'tu 乳突
'ru'xian 乳腺
'ru'zhong 乳中
'ru'zhong'xue 乳中穴
'san'jian 三间
'san'jian'xue 三间穴
'san'jiao 三焦
'san'jiao'jing 三焦经
'san'jiao'jiu 三角灸
'san'jiao'jiu'xue 三角灸穴
'san'jiao'wo 三角窝
'san'jiao'yu 三焦俞
'san'jiao'yu'xue 三焦俞穴
'san'yang'luo 三阳络
'san'yang'luo'xue 三阳络穴
'san'yin'jiao 三阴交
'san'yin'jiao'xue 三阴交穴
'shan'zhong 膻中
'shang'bei 上背
'shang'e 上腭
'shang'er'gen 上耳根
'shang'guan 上关
'shang'guan'xue 上关穴
'shang'jiao'wo 上角窝
'shang'ju'xu 上巨虚
'shang'ju'xu'xue 上巨虚穴
'shang'lian 上廉
'shang'lian'quan 上廉泉
'shang'lian'quan'xue 上廉泉穴
'shang'lian'xue 上廉穴
'shang'liao 上髎
'shang'liao'xue 上髎穴
'shang'ming 上明
'shang'ming'xue 上明穴
'shang'qiu 商丘
'shang'qiu'xue 商丘穴
'shang'qu 商曲
'shang'qu'xue 商曲穴
'shang'wan 上脘
'shang'wan'xue 上脘穴
'shang'xing 上星
'shang'xing'xue 上星穴
'shang'yang 商阳
'shang'yang'xue 商阳穴
'shang'ying'xiang 上迎香
'shang'ying'xiang'xue 上迎香穴
'shao'chong 少冲
'shao'chong'xue 少冲穴
'shao'fu 少府
'shao'fu'xue 少府穴
'shao'hai 少海
'shao'hai'xue 少海穴
'shao'shang 少商
'shao'shang'xue 少商穴
'shao'ze 少泽
'shao'ze'xue 少泽穴
'she'qu 舌区
'she'xue 舌穴
'shen'dao 神道
'shen'dao'xue 神道穴
'shen'feng 神封
'shen'feng'xue 神封穴
'shen'jing 肾经
'shen'jing'cong'dian 神经丛点
'shen'mai 申脉
'shen'mai'xue 申脉穴
'shen'men 神门
'shen'men'xue 神门穴
'shen'qu 肾区
'shen'que 神阙
'shen'que'xue 神阙穴
'shen'shang'xian 肾上腺
'shen'tang 神堂
'shen'tang'xue 神堂穴
'shen'ting 神庭
'shen'ting'xue 神庭穴
'shen'xue 肾穴
'shen'yan'dian 肾炎点
'shen'yu 肾俞
'shen'yu'xue 肾俞穴
'shen'zang 神藏
'shen'zang'xue 神藏穴
'shen'zhu 身柱
'shen'zhu'xue 身柱穴
'sheng'dai 声带
'sheng'ya'dian 升压点
'shi'dou 食窦
'shi'dou'xue 食窦穴
'shi'er'jing'luo 十二经络
'shi'er'zhi'chang 十二指肠
'shi'guan 石关
'shi'guan 食管
'shi'guan'xue 石关穴
'shi'men 石门
'shi'men'xue 石门穴
'shi'mian'xue 失眠穴
'shi'qi'zhui 十七椎
'shi'qi'zhui'xue 十七椎穴
'shi'si'jing'luo 十四经络
'shi'xuan 十宣
'shi'xuan'xue 十宣穴
'shou'jue'yin 手厥阴
'shou'jue'yin'xin'bao'jing 手厥阴心包经
'shou'ni'zhu 手逆注
'shou'ni'zhu'xue 手逆注穴
'shou'san'li 手三里
'shou'san'li'xue 手三里穴
'shou'san'yang 手三阳
'shou'san'yin 手三阴
'shou'shao'yang 手少阳
'shou'shao'yang'san'jiao'jing 手少阳三焦经
'shou'shao'yin 手少阴
'shou'shao'yin'xin'jing 手少阴心经
'shou'tai'yang 手太阳
'shou'tai'yang'xiao'chang'jing 手太阳小肠经
'shou'tai'yin 手太阴
'shou'tai'yin'fei'jing 手太阴肺经
'shou'wu'li 手五里
'shou'wu'li'xue 手五里穴
'shou'yang'ming 手阳明
'shou'yang'ming'da'chang'jing 手阳明大肠经
'shu'gu 束骨
'shu'gu'xue 束骨穴
'shu'niao'guan 输尿管
'shu'xue 俞穴
'shu'xue 输穴
'shui'dao 水道
'shui'dao'xue 水道穴
'shui'fen 水分
'shui'fen'xue 水分穴
'shui'gou 水沟
'shui'gou'xue 水沟穴
'shui'quan 水泉
'shui'quan'xue 水泉穴
'shui'tu 水突
'shui'tu'xue 水突穴
'si'bai 四白
'si'bai'xue 四白穴
'si'du 四渎
'si'du'xue 四渎穴
'si'feng 四缝
'si'feng'xue 四缝穴
'si'man 四满
'si'man'xue 四满穴
'si'shen'cong 四神聪
'si'shen'cong'xue 四神聪穴
'si'zhu'kong 丝竹空
'si'zhu'kong'xue 丝竹空穴
'su'liao 素髎
'su'liao'xue 素髎穴
'suo'gu 锁骨
'tai'bai 太白
'tai'bai'xue 太白穴
'tai'chong 太冲
'tai'chong'xue 太冲穴
'tai'xi 太溪
'tai'xi'xue 太溪穴
'tai'yang 太阳
'tai'yang'xue 太阳穴
'tai'yi 太乙
'tai'yi'xue 太乙穴
'tai'yuan 太渊
'tai'yuan'xue 太渊穴
'tao'dao 陶道
'tao'dao'xue 陶道穴
'tian'chi 天池
'tian'chi'xue 天池穴
'tian'chong 天冲
'tian'chong'xue 天冲穴
'tian'chuang 天窗
'tian'chuang'xue 天窗穴
'tian'ding 天鼎
'tian'ding'xue 天鼎穴
'tian'fu 天府
'tian'fu'xue 天府穴
'tian'jing 天井
'tian'jing'xue 天井穴
'tian'liao 天髎
'tian'liao'xue 天髎穴
'tian'quan 天泉
'tian'quan'xue 天泉穴
'tian'rong 天容
'tian'rong'xue 天容穴
'tian'shu 天枢
'tian'shu'xue 天枢穴
'tian'tu 天突
'tian'tu'xue 天突穴
'tian'xi 天溪
'tian'xi'xue 天溪穴
'tian'you 天牖
'tian'you'xue 天牖穴
'tian'zhu 天柱
'tian'zhu'xue 天柱穴
'tian'zong 天宗
'tian'zong'xue 天宗穴
'tiao'kou 条口
'tiao'kou'xue 条口穴
'ting'gong 听宫
'ting'gong'xue 听宫穴
'ting'hui 听会
'ting'hui'xue 听会穴
'ting'jiao 艇角
'ting'zhong 艇中
'tong'li 通里
'tong'li'xue 通里穴
'tong'tian 通天
'tong'tian'xue 通天穴
'tong'zi'liao 瞳子髎
'tong'zi'liao'xue 瞳子髎穴
'tou'hun'xue 头昏穴
'tou'lin'qi 头临泣
'tou'lin'qi'xue 头临泣穴
'tou'qiao'yin 头窍阴
'tou'qiao'yin'xue 头窍阴穴
'tou'wei 头维
'tou'wei'xue 头维穴
'tun'qu 臀区
'tun'xue 臀穴
'wai'bi 外鼻
'wai'er 外耳
'wai'guan 外关
'wai'guan'xue 外关穴
'wai'huai'jian 外踝尖
'wai'huai'jian'xue 外踝尖穴
'wai'lao'gong 外劳宫
'wai'lao'gong'xue 外劳宫穴
'wai'ling 外陵
'wai'ling'xue 外陵穴
'wai'qiu 外丘
'wai'qiu'xue 外丘穴
'wai'sheng'zhi'qi 外生殖器
'wan'gu 完骨
'wan'gu 腕骨
'wan'gu'xue 完骨穴
'wan'gu'xue 腕骨穴
'wan'qu 腕区
'wan'xue 腕穴
'wei'cang 胃仓
'wei'cang'xue 胃仓穴
'wei'dao 维道
'wei'dao'xue 维道穴
'wei'jing 胃经
'wei'qu 胃区
'wei'shang 胃上
'wei'shang'xue 胃上穴
'wei'shu'xue 胃俞穴
'wei'wan'xia'shu'xue 胃脘下俞穴
'wei'wan'xia'yu 胃脘下俞
'wei'xue 胃穴
'wei'yang 委阳
'wei'yang'xue 委阳穴
'wei'yu 胃俞
'wei'zhong 委中
'wei'zhong'xue 委中穴
'wen'liu 温溜
'wen'liu'xue 温溜穴
'wu'chu 五处
'wu'chu'xue 五处穴
'wu'shu 五枢
'wu'shu'xue 五枢穴
'wu'yi 屋翳
'wu'yi'xue 屋翳穴
'xi'guan 膝关
'xi'guan'xue 膝关穴
'xi'men 郄门
'xi'men'xue 郄门穴
'xi'qu 膝区
'xi'xue 膝穴
'xi'xue 郄穴
'xi'yan 膝眼
'xi'yan'xue 膝眼穴
'xi'yang'guan 膝阳关
'xi'yang'guan'xue 膝阳关穴
'xia'bai 侠白
'xia'bai'xue 侠白穴
'xia'bei 下背
'xia'chui'dian 下垂点
'xia'e 下腭
'xia'er'gen 下耳根
'xia'guan 下关
'xia'guan'xue 下关穴
'xia'he'xue 下合穴
'xia'ji'shu'xue 下极俞穴
'xia'ji'yu 下极俞
'xia'ju'xu 下巨虚
'xia'ju'xu'xue 下巨虚穴
'xia'lian 下廉
'xia'lian'xue 下廉穴
'xia'liao 下髎
'xia'liao'xue 下髎穴
'xia'wan 下脘
'xia'wan'xue 下脘穴
'xia'xi 侠溪
'xia'xi'xue 侠溪穴
'xian'gu 陷谷
'xian'gu'xue 陷谷穴
'xiao'chang 小肠
'xiao'chang'jing 小肠经
'xiao'chang'shu'xue 小肠俞穴
'xiao'chang'yu 小肠俞
'xiao'gu'kong 小骨空
'xiao'gu'kong'xue 小骨空穴
'xiao'hai 小海
'xiao'hai'xue 小海穴
'xiao'luo 消泺
'xiao'luo'xue 消泺穴
'xie'fa 泻法
'xie'lei 胁肋
'xin'bao'jing 心包经
'xin'hui 囟会
'xin'hui'xue 囟会穴
'xin'jing 心经
'xin'qu 心区
'xin'shu'xue 心俞穴
'xin'xue 心穴
'xin'yan'dian 新眼点
'xin'yu 心俞
'xin'zang'dian 心脏点
'xing'fen'dian 兴奋点
'xing'xue 荥穴
'xiong'qu 胸区
'xiong'xiang 胸乡
'xiong'xiang'xue 胸乡穴
'xiong'xue 胸穴
'xiong'zhui 胸椎
'xuan'ji 璇玑
'xuan'ji'xue 璇玑穴
'xuan'li 悬厘
'xuan'li'xue 悬厘穴
'xuan'lu 悬颅
'xuan'lu'xue 悬颅穴
'xuan'shu 悬枢
'xuan'shu'xue 悬枢穴
'xuan'zhong 悬钟
'xuan'zhong'jue'gu 悬钟绝骨
'xuan'zhong'xue 悬钟穴
'xue'hai 血海
'xue'hai'xue 血海穴
'xue'ming 穴名
'xue'wei'ming 穴位名
'xue'ya'dian 血压点
'xue'ya'dian'xue 血压点穴
'ya'men 哑门
'ya'men'xue 哑门穴
'ya'tong'dian 牙痛点
'ya'tong'qi'xue 牙痛奇穴
'ya'tong'xue 牙痛穴
'ya'xue 牙穴
'yan'er 眼二
'yan'hou 咽喉
'yan'qu 眼区
'yan'xue 眼穴
'yan'yi 眼一
'yang'bai 阳白
'yang'bai'xue 阳白穴
'yang'chi 阳池
'yang'chi'xue 阳池穴
'yang'fu 阳辅
'yang'fu'xue 阳辅穴
'yang'gang 阳纲
'yang'gang'xue 阳纲穴
'yang'gu 阳谷
'yang'gu'xue 阳谷穴
'yang'jiao 阳交
'yang'jiao'xue 阳交穴
'yang'lao 养老
'yang'lao'xue 养老穴
'yang'ling'quan 阳陵泉
'yang'ling'quan'xue 阳陵泉穴
'yang'qiao'mai 阳跷脉
'yang'wei'mai 阳维脉
'yang'xi 阳溪
'yang'xi'xue 阳溪穴
'yao'di'zhui 腰骶椎
'yao'ji 腰肌
'yao'qi 腰奇
'yao'qi'xue 腰奇穴
'yao'shu'xue 腰俞穴
'yao'tong'dian 腰痛点
'yao'tong'dian'xue 腰痛点穴
'yao'yan 腰眼
'yao'yan'xue 腰眼穴
'yao'yang'guan 腰阳关
'yao'yang'guan'xue 腰阳关穴
'yao'yi 腰宜
'yao'yi'xue 腰宜穴
'yao'yu 腰俞
'ye'men 液门
'ye'men'xue 液门穴
'yi'dan 胰胆
'yi'feng 翳风
'yi'feng'xue 翳风穴
'yi'ming 翳明
'yi'ming'xue 翳明穴
'yi'she 意舍
'yi'she'xue 意舍穴
'yi'xi 譩譆
'yi'xi'xue 譩譆穴
'yin'bai 隐白
'yin'bai'xue 隐白穴
'yin'bao 阴包
'yin'bao'xue 阴包穴
'yin'du 阴都
'yin'du'xue 阴都穴
'yin'gu 阴谷
'yin'gu'xue 阴谷穴
'yin'jiao 阴交
'yin'jiao 龈交
'yin'jiao'xue 阴交穴
'yin'jiao'xue 龈交穴
'yin'lian 阴廉
'yin'lian'xue 阴廉穴
'yin'ling'quan 阴陵泉
'yin'ling'quan'xue 阴陵泉穴
'yin'men 殷门
'yin'men'xue 殷门穴
'yin'qiao'mai 阴跷脉
'yin'shi 阴市
'yin'shi'xue 阴市穴
'yin'tang 印堂
'yin'tang'xue 印堂穴
'yin'wei'mai 阴维脉
'yin'xi 阴郄
'yin'xi'xue 阴郄穴
'ying'chuang 膺窗
'ying'chuang'xue 膺窗穴
'ying'xiang 迎香
'ying'xiang'xue 迎香穴
'yong'quan 涌泉
'yong'quan'xue 涌泉穴
'you'men 幽门
'you'men'xue 幽门穴
'yu'fu 俞府
'yu'fu'xue 俞府穴
'yu'ji 鱼际
'yu'ji'xue 鱼际穴
'yu'tang 玉堂
'yu'tang'xue 玉堂穴
'yu'yao 鱼腰
'yu'yao'xue 鱼腰穴
'yu'ye 玉液
'yu'ye'xue 玉液穴
'yu'zhen 玉枕
