# 生成工具 https://github.com/whitewatercn/rimetool
# 生成时间 2025-02-18_10-40-19
---
'abdominal abdominal
'discontinues discontinues
'discontinuing discontinuing
'disease disease
'diseases diseases
'disorder disorder
'disorders disorders
'distal distal
'distinguish distinguish
'distinguished distinguished
'distinguishes distinguishes
'distinguishing distinguishing
'distress distress
'distresses distresses
'distribution distribution
'distributions distributions
'divide divide
'divided divided
'divides divides
'dividing dividing
'document document
'documented documented
'documenting documenting
'documents documents
'domain domain
'domains domains
'dosage dosage
'dosages dosages
'dose dose
'doses doses
'drug drug
'drugs drugs
'due due
'duration duration
'durations durations
'dysfunction dysfunction
'dysfunctions dysfunctions
'effect effect
'effects effects
'effective effective
'effectiveness effectiveness
'efficacy efficacy
'efficacies efficacies
'elderly elderly
'elevated elevated
'elevation elevation
'elevations elevations
'elicit elicit
'elicited elicited
'eliciting eliciting
'elicits elicits
'eliminate eliminate
'eliminated eliminated
'eliminates eliminates
'eliminating eliminating
'emphasise emphasise
'emphasised emphasised
'emphasises emphasises
'emphasising emphasising
'emphasize emphasize
'emphasized emphasized
'emphasizes emphasizes
'emphasizing emphasizing
'empirical empirical
'encode encode
'encoded encoded
'encodes encodes
'encoding encoding
'endogenous endogenous
'endothelial endothelial
'enhance enhance
'enhanced enhanced
'enhances enhances
'enhancing enhancing
'entity entity
'entities entities
'enzyme enzyme
'enzymes enzymes
'epidemiological epidemiological
'epidemiology epidemiology
'episode episode
'episodes episodes
'equivalent equivalent
'error error
'errors errors
'established established
'evaluation evaluation
'evaluations evaluations
'event event
'events events
'evidence evidence
'evident evident
'evolve evolve
'evolved evolved
'evolves evolves
'evolving evolving
'exact exact
'examination examination
'examinations examinations
'examine examine
'examined examined
'examines examines
'examining examining
'exceed exceed
'exceeded exceeded
'exceeding exceeding
'exceeds exceeds
'excess excess
'excessive excessive
'exclude exclude
'excluded excluded
'excludes excludes
'excluding excluding
'exclusion exclusion
'exclusions exclusions
'exercise exercise
'exercises exercises
'exert exert
'exerted exerted
'exerting exerting
'exerts exerts
'exhibit exhibit
'exhibited exhibited
'exhibiting exhibiting
'exhibits exhibits
'experience experience
'experienced experienced
'experiences experiences
'experiencing experiencing
'experiment experiment
'experiments experiments
'experimental experimental
'expose expose
'exposed exposed
'exposes exposes
'exposing exposing
'exposure exposure
'exposures exposures
'express express
'expressed expressed
'expresses expresses
'expressing expressing
'expression expression
'expressions expressions
'extension extension
'extensions extensions
'extensive extensive
'external external
'extracellular extracellular
'facilitate facilitate
'facilitated facilitated
'facilitates facilitates
'facilitating facilitating
'factor factor
'factors factors
'failure failure
'failures failures
'false false
'familial familial
'fatigue fatigue
'female female
'females females
'fever fever
'fevers fevers
'fig fig.
'flow flow
'flows flows
'fluid fluid
'fluids fluids
'focal focal
'focus focus
'foci foci
'focuses focuses
'focused focused
'focusing focusing
'focussed focussed
'focussing focussing
'foetal foetal
'followup follow-up
'formation formation
'formations formations
'fraction fraction
'fractions fractions
'fragment fragment
'fragments fragments
'frequency frequency
'frequencies frequencies
'frequent frequent
'function function
'functions functions
'functioned functioned
'functioning functioning
'functional functional
'gain gain
'gains gains
'gastrointestinal gastrointestinal
'gene gene
'genes genes
'generalise generalise
'generalised generalised
'generalises generalises
'generalising generalising
'generalize generalize
'generalized generalized
'generalizes generalizes
'generalizing generalizing
'generate generate
'generated generated
'generates generates
'generating generating
'genetic genetic
'genome genome
'genomes genomes
'genotype genotype
'genotypes genotypes
'global global
'glucose glucose
'grade grade
'grades grades
'greatest greatest
'group group
'groups groups
'growth growth
'growths growths
'guide guide
'guided guided
'guides guides
'guiding guiding
'guideline guideline
'guidelines guidelines
'hazard hazard
'hazards hazards
'healing healing
'health health
'healthy healthy
'height height
'heights heights
'heterogeneous heterogeneous
'highrisk high-risk
'high high
'histological histological
'history history
'histories histories
'hormone hormone
'hormones hormones
'hospital hospital
'hospitals hospitals
'host host
'hosts hosts
'human human
'humans humans
'hypertension hypertension
'hypothesis hypothesis
'hypotheses hypotheses
'identical identical
'identification identification
'identifications identifications
'identify identify
'identified identified
'identifies identifies
'identifying identifying
'illness illness
'illnesses illnesses
'image image
'images images
'imaging imaging
'imagings imagings
'immune immune
'immunosuppressive immunosuppressive
'impaired impaired
'implicate implicate
'implicated implicated
'implicates implicates
'implicating implicating
'inability inability
'inabilities inabilities
'inadequate inadequate
'incidence incidence
'incidences incidences
'include include
'included included
'includes includes
'including including
'inclusion inclusion
'inclusions inclusions
'incomplete incomplete
'incubation incubation
'incubations incubations
'index index
'indexes indexes
'indices indices
'indicate indicate
'indicated indicated
'indicates indicates
'indicating indicating
'indication indication
'indications indications
'indicator indicator
'indicators indicators
'indirect indirect
'individual individual
'individuals individuals
'induce induce
'induced induced
'induces induces
'inducing inducing
'induction induction
'inductions inductions
'infection infection
'infections infections
'infectious infectious
'inferior inferior
'inflammation inflammation
'inflammations inflammations
'inflammatory inflammatory
'infusion infusion
'infusions infusions
'inhibit inhibit
'inhibited inhibited
'inhibiting inhibiting
'inhibits inhibits
'inhibition inhibition
'inhibitions inhibitions
'inhibitor inhibitor
'inhibitors inhibitors
'inhibitory inhibitory
'initial initial
'initially initially
'initiate initiate
'initiated initiated
'initiates initiates
'initiating initiating
'initiation initiation
'initiations initiations
'inject inject
'injected injected
'injecting injecting
'injects injects
'injection injection
'injections injections
'injury injury
'injuries injuries
'insert insert
'inserted inserted
'inserting inserting
'inserts inserts
'insertion insertion
'insertions insertions
'instability instability
'instabilities instabilities
'insufficient insufficient
'insulin insulin
'insulins insulins
'intact intact
'intake intake
'intakes intakes
'intensity intensity
'intensities intensities
'intensive intensive
'interact interact
'interacted interacted
'interacting interacting
'interacts interacts
'interaction interaction
'interactions interactions
'interfere interfere
'interfered interfered
'interferes interferes
'interfering interfering
'intermediate intermediate
'internal internal
'interpret interpret
'interpreted interpreted
'interpreting interpreting
'interprets interprets
'interpretation interpretation
'interpretations interpretations
'interval interval
'intervals intervals
'intervention intervention
'interventions interventions
'intestinal intestinal
'intracellular intracellular
'intravenous intravenous
'intrinsic intrinsic
'introduction introduction
'introductions introductions
'invasive invasive
'investigator investigator
'investigators investigators
'involve involve
'involved involved
'involves involves
'involving involving
'involvement involvement
'involvements involvements
'isolate isolate
'isolated isolated
'isolates isolates
'isolating isolating
'isolation isolation
'isolations isolations
'kidney kidney
'kidneys kidneys
'kinase kinase
'kinases kinases
'known known
'label label
'labeled labeled
'labeling labeling
'labelled labelled
'labelling labelling
'labels labels
'laboratory laboratory
'laboratories laboratories
'lateral lateral
'layer layer
'layers layers
'lead lead
'leading leading
'leads leads
'led led
'least least
'left left
'length length
'lengths lengths
'lesion lesion
'lesions lesions
'level level
'levels levels
'likelihood likelihood
'likelihoods likelihoods
'limb limb
'limbs limbs
'limit limit
'limited limited
'limiting limiting
'limits limits
'limitation limitation
'limitations limitations
'linear linear
'linkage linkage
'linkages linkages
'load load
'loads loads
'localised localised
'locally locally
'located located
'loss loss
'losses losses
'low low
'lower lower
'lowered lowered
'lowering lowering
'lowers lowers
'lung lung
'lungs lungs
'lymphocyte lymphocyte
'lymphocytes lymphocytes
'macrophage macrophage
'macrophages macrophages
'magnetic magnetic
'maintenance maintenance
'major major
'majority majority
'majorities majorities
'male male
'males males
'malignancy malignancy
'malignancies malignancies
'manifestation manifestation
'manifestations manifestations
'margin margin
'margins margins
'marked marked
'markedly markedly
'marker marker
'markers markers
'mass mass
'masses masses
'matrix matrix
'matrices matrices
'matrixes matrixes
'maximal maximal
'maximum maximum
'maxima maxima
'maximums maximums
'mean mean
'means means
'measure measure
'measures measures
'measured measured
'measuring measuring
'measurement measurement
'measurements measurements
'mechanical mechanical
'mechanism mechanism
'mechanisms mechanisms
'median median
'mediate mediate
'mediated mediated
'mediates mediates
'mediating mediating
'mediator mediator
'mediators mediators
'medical medical
'medication medication
'medications medications
'medicine medicine
'medicines medicines
'medium medium
'mediums mediums
'mellitus mellitus
'membrane membrane
'membranes membranes
'mental mental
'metaanalysis meta-analysis
'metabolic metabolic
'metabolism metabolism
'metabolisms metabolisms
'method method
'methods methods
'migration migration
'migrations migrations
'mild mild
'minimal minimal
'minimise minimise
'minimised minimised
'minimises minimises
'minimising minimising
'minimize minimize
'minimized minimized
'minimizes minimizes
'minimizing minimizing
'minor minor
'mixed mixed
'modality modality
'modalities modalities
'model model
'models models
'moderate moderate
'moderately moderately
'modest modest
'modification modification
'modifications modifications
'modify modify
'modified modified
'modifies modifies
'modifying modifying
'molecular molecular
'molecule molecule
'molecules molecules
'monitor monitor
'monitored monitored
'monitoring monitoring
'monitors monitors
'monitorings monitorings
'monoclonal monoclonal
'month month
'months months
'morbidity morbidity
'morphology morphology
'morphologies morphologies
'mortality mortality
'mortalities mortalities
'mouse mouse
'mice mice
'mouses mouses
'multiple multiple
'namely namely
'neck neck
'necks necks
'necrosis necrosis
'needle needle
'needles needles
'negative negative
'neonatal neonatal
'nerve nerve
'nerves nerves
'network network
'networks networks
'neurological neurological
'node node
'nodes nodes
'normal normal
'notably notably
'nucleus nucleus
'nuclei nuclei
'number number
'numerous numerous
'obesity obesity
'objective objective
'observation observation
'observations observations
'observe observe
'observed observed
'observes observes
'observing observing
'occurrence occurrence
'occurrences occurrences
'onset onset
'optimal optimal
'oral oral
'organ organ
'organs organs
'outcome outcome
'outcomes outcomes
'overlap overlap
'overlapped overlapped
'overlapping overlapping
'overlaps overlaps
'oxygen oxygen
'oxygens oxygens
'pain pain
'pains pains
'parameter parameter
'parameters parameters
'partial partial
'partially partially
'pathogenesis pathogenesis
'pathological pathological
'pathology pathology
'pathologies pathologies
'pathway pathway
'pathways pathways
'patient patient
'patients patients
'pattern pattern
'patterns patterns
'peak peak
'peaks peaks
'percentage percentage
'percentages percentages
'perform perform
'performed performed
'performing performing
'performs performs
'performance performance
'performances performances
'period period
'periods periods
'peripheral peripheral
'persist persist
'persisted persisted
'persisting persisting
'persists persists
'persistent persistent
'phase phase
'phases phases
'phenomenon phenomenon
'phenomena phenomena
'phenotype phenotype
'phenotypes phenotypes
'physical physical
'physician physician
'physicians physicians
'physiological physiological
'placebo placebo
'placebos placebos
'plasma plasma
'plasmas plasmas
'plate plate
'plates plates
'polymorphism polymorphism
'polymorphisms polymorphisms
'poorly poorly
'population population
'populations populations
'portion portion
'portions portions
'positive positive
'postoperative postoperative
'potent potent
'potential potential
'potentials potentials
'practise practise
'practiced practiced
'practices practices
'practicing practicing
'practised practised
'practises practises
'practising practising
'practitioner practitioner
'practitioners practitioners
'precede precede
'preceded preceded
'precedes precedes
'preceding preceding
'predictive predictive
'predispose predispose
'predisposed predisposed
'predisposes predisposes
'predisposing predisposing
'predominant predominant
'predominantly predominantly
'pregnancy pregnancy
'pregnancies pregnancies
'premature premature
'preparation preparation
'preparations preparations
'prescribe prescribe
'prescribed prescribed
'prescribes prescribes
'prescribing prescribing
'prescription prescription
'prescriptions prescriptions
'present present
'presented presented
'presenting presenting
'presents presents
'presentation presentation
'presentations presentations
'pressure pressure
'pressures pressures
'prevalence prevalence
'prevalences prevalences
'prevalent prevalent
'prevent prevent
'prevented prevented
'preventing preventing
'prevents prevents
'prevention prevention
'preventions preventions
'primary primary
'prior prior
'probability probability
'probabilities probabilities
'procedure procedure
'procedures procedures
'process process
'processes processes
'processing processing
'profile profile
'profiles profiles
'prognosis prognosis
'prognostic prognostic
'progress progress
'progressed progressed
'progresses progresses
'progressing progressing
'progression progression
'progressions progressions
'progressive progressive
'proliferation proliferation
'proliferations proliferations
'prolonged prolonged
'prominent prominent
'promote promote
'promoted promoted
'promotes promotes
'promoting promoting
'proportion proportion
'proportions proportions
'prospective prospective
'protease protease
'proteases proteases
'protective protective
'protein protein
'proteins proteins
'proximal proximal
'psychological psychological
'pulmonary pulmonary
'pulse pulse
'pulses pulses
'quality quality
'qualities qualities
'quantitative quantitative
'randomise randomise
'randomised randomised
'randomises randomises
'randomising randomising
'randomize randomize
'randomized randomized
'randomizes randomizes
'randomizing randomizing
'range range
'ranges ranges
'ranged ranged
'ranging ranging
'rat rat
'rats rats
'rate rate
'rates rates
'ratio ratio
'ratios ratios
'reaction reaction
'reactions reactions
'reactive reactive
'receptor receptor
'receptors receptors
'recipient recipient
'recipients recipients
'recognise recognise
'recognised recognised
'recognises recognises
'recognising recognising
'recognize recognize
'recognized recognized
'recognizes recognizes
'recognizing recognizing
'record record
'recorded recorded
'recording recording
'records records
'recovery recovery
'recoveries recoveries
'recurrence recurrence
'recurrences recurrences
'recurrent recurrent
'reduce reduce
'reduced reduced
'reduces reduces
'reducing reducing
'reduction reduction
'reductions reductions
'reference reference
'references references
'referral referral
'referrals referrals
'reflect reflect
'reflected reflected
'reflecting reflecting
'reflects reflects
'regimen regimen
'regimens regimens
'region region
'regions regions
'regulate regulate
'regulated regulated
'regulates regulates
'regulating regulating
'regulation regulation
'regulations regulations
'regulatory regulatory
'relapse relapse
'relapses relapses
'relate relate
'related related
'relates relates
'relating relating
'relationship relationship
'relationships relationships
'release release
'releases releases
'relevance relevance
'relevances relevances
'reliable reliable
'removal removal
'removals removals
'renal renal
'repair repair
'repairs repairs
'repeat repeat
'repeats repeats
'repeated repeated
'repeating repeating
'replacement replacement
'replacements replacements
'replication replication
'replications replications
'report report
'reported reported
'reporting reporting
'reports reports
'research research
'resection resection
'resections resections
'residual residual
'resistance resistance
'resistances resistances
'resistant resistant
'resolution resolution
'resolutions resolutions
'resonance resonance
'resonances resonances
'respectively respectively
'respiratory respiratory
'response response
'responses responses
'restricted restricted
'review review
'reviews reviews
'reviewed reviewed
'reviewing reviewing
'risk risk
'risks risks
'role role
'roles roles
'routine routine
'routinely routinely
'safety safety
'safeties safeties
'saline saline
'sample sample
'samples samples
'sampling sampling
'samplings samplings
'scale scale
'scales scales
'scan scan
'scans scans
'scanned scanned
'scanning scanning
'score score
'scores scores
'screen screen
'screened screened
'screening screening
'screens screens
'screenings screenings
'secondary secondary
'secretion secretion
'secretions secretions
'segment segment
'segments segments
'select select
'selected selected
'selecting selecting
'selects selects
'selection selection
'selections selections
'selective selective
'sensitive sensitive
'sensitivity sensitivity
'sensitivities sensitivities
'sequence sequence
'sequences sequences
'series series
'serum serum
'serums serums
'severity severity
'severities severities
'sex sex
'sexes sexes
'shift shift
'shifts shifts
'shortterm short-term
'show show
'showed showed
'showing showing
'shown shown
'shows shows
'signal signal
'signals signals
'significance significance
'significances significances
'significant significant
'site site
'sites sites
'sodium sodium
'solid solid
'specific specific
'specificity specificity
'specificities specificities
'specimen specimen
'specimens specimens
'spectrum spectrum
'spectra spectra
'spectrums spectrums
'spontaneous spontaneous
'stabilise stabilise
'stabilised stabilised
'stabilises stabilises
'stabilising stabilising
'stabilize stabilize
'stabilized stabilized
'stabilizes stabilizes
'stabilizing stabilizing
'stable stable
'stage stage
'stages stages
'standard standard
'status status
'stem stem
'stems stems
'steroid steroid
'steroids steroids
'stimulate stimulate
'stimulated stimulated
'stimulates stimulates
'stimulating stimulating
'stimulation stimulation
'stimulations stimulations
'stimulus stimulus
'stimuli stimuli
'strain strain
'strains strains
'strategy strategy
'strategies strategies
'stress stress
'stresses stresses
'stroke stroke
'strokes strokes
'structural structural
'subgroup subgroup
'subgroups subgroups
'subject subject
'subjects subjects
'subsequently subsequently
'subset subset
'subsets subsets
'substantially substantially
'substrate substrate
'substrates substrates
'subtype subtype
'subtypes subtypes
'summarise summarise
'summarised summarised
'summarises summarises
'summarising summarising
'summarize summarize
'summarized summarized
'summarizes summarizes
'summarizing summarizing
'summary summary
'summaries summaries
'superior superior
'supplementation supplementation
'support support
'supported supported
'supporting supporting
'supports supports
'supportive supportive
'suppress suppress
'suppressed suppressed
'suppresses suppresses
'suppressing suppressing
'suppression suppression
'suppressions suppressions
'surface surface
'surfaces surfaces
'surgeon surgeon
'surgeons surgeons
'surgery surgery
'surgeries surgeries
'surgical surgical
'surveillance surveillance
'surveillances surveillances
'survey survey
'surveys surveys
'survival survival
'survivals survivals
'susceptibility susceptibility
'susceptibilities susceptibilities
'susceptible susceptible
'sustained sustained
'symptom symptom
'symptoms symptoms
'symptomatic symptomatic
'syndrome syndrome
'syndromes syndromes
'synthesis synthesis
'syntheses syntheses
'systematic systematic
'systemic systemic
'table table
'tables tables
'target target
'targets targets
'targeted targeted
'targeting targeting
'targetted targetted
'targetting targetting
'task task
'tasks tasks
'technique technique
'techniques techniques
'temporal temporal
'test test
'tests tests
'tested tested
'testing testing
'testings testings
'therapeutic therapeutic
'therapy therapy
'therapies therapies
'thereafter thereafter
'thereby thereby
'threshold threshold
'thresholds thresholds
'timing timing
'timings timings
'tissue tissue
'tissues tissues
'tolerance tolerance
'tolerances tolerances
'tolerate tolerate
'tolerated tolerated
'tolerates tolerates
'tolerating tolerating
'tomography tomography
'toxicity toxicity
'toxicities toxicities
'tract tract
'tracts tracts
'transcription transcription
'transcriptions transcriptions
'transform transform
'transformed transformed
'transforming transforming
'transforms transforms
'transformation transformation
'transformations transformations
'transient transient
'transmission transmission
'transmissions transmissions
'trauma trauma
'traumas traumas
'treat treat
'treated treated
'treating treating
'treats treats
'treatment treatment
'treatments treatments
'trend trend
'trends trends
'trial trial
'trials trials
'trigger trigger
'triggered triggered
'triggering triggering
'triggers triggers
'tube tube
'tubes tubes
'type type
'types types
'typically typically
'ultrasound ultrasound
'ultrasounds ultrasounds
'unclear unclear
'undergo undergo
'undergoes undergoes
'undergoing undergoing
'undergone undergone
'underwent underwent
'underlie underlie
'underlay underlay
'underlying underlying
'unit unit
'units units
'unknown unknown
'untreated untreated
'upper upper
'uptake uptake
'uptakes uptakes
'urinary urinary
'urine urine
'utilise utilise
'utilised utilised
'utilises utilises
'utilising utilising
'utilize utilize
'utilized utilized
'utilizes utilizes
'utilizing utilizing
'value value
'values values
'variability variability
'variabilities variabilities
'variable variable
'variant variant
'variants variants
'variation variation
'variations variations
'vary vary
'varied varied
'varies varies
'varying varying
'vascular vascular
'vein vein
'veins veins
'venous venous
'ventricular ventricular
'vessel vessel
'vessels vessels
'vitamin vitamin
'vitamins vitamins
'volume volume
'volumes volumes
'weight weight
'weights weights
'worsen worsen
'worsened worsened
'worsening worsening
'worsens worsens
'wound wound
'wounds wounds
'yield yield
'yields yields
'yielded yielded
'yielding yielding
